id,index_text
1084,418
1039,419
584,420
594,421
477,422
598,423
325,424
542,425
984,426
316,427
886,428
885,429
558,430
723,431
1055,432
479,433
578,434
60,435
433,436
762,437
92,438
914,439
442,440
351,441
994,442
280,443
964,444
447,445
359,446
1105,447
1004,448
887,449
1100,450
708,451
1069,452
182,453
678,454
527,455
110,456
370,457
458,458
239,459
1106,460
665,461
626,462
204,463
978,464
857,465
261,466
526,467
921,468
339,469
1099,470
583,471
513,472
183,473
137,474
1193,475
746,476
668,477
80,478
628,479
842,480
806,481
29,482
493,483
471,484
966,485
165,486
248,487
307,488
481,489
809,490
614,491
346,492
334,493
285,494
1013,495
97,496
875,497
1068,498
973,499
634,500
1009,501
1197,502
1034,503
802,504
727,505
65,506
671,507
788,508
963,509
1116,510
1131,511
302,512
993,513
388,514
235,515
861,516
752,517
305,518
899,519
977,520
249,521
1232,522
71,523
94,524
1102,525
33,526
814,527
448,528
445,529
876,530
618,531
720,532
77,533
84,534
570,535
82,536
457,537
781,538
436,539
621,540
949,541
404,542
1077,543
825,544
892,545
104,546
676,547
999,548
62,549
281,550
700,551
238,552
223,553
145,554
1151,555
373,556
118,557
1078,558
250,559
1189,560
9,561
449,562
931,563
389,564
1058,565
1234,566
557,567
460,568
1137,569
144,570
501,571
1140,572
539,573
177,574
1191,575
737,576
732,577
1229,578
7,579
588,580
898,581
357,582
329,583
946,584
884,585
258,586
925,587
950,588
848,589
651,590
1066,591
525,592
900,593
1091,594
796,595
1173,596
440,597
531,598
1023,599
228,600
1072,601
212,602
79,603
148,604
624,605
1211,606
622,607
133,608
1053,609
408,610
710,611
507,612
935,613
504,614
712,615
347,616
386,617
0,618
360,619
1166,620
475,621
894,622
798,623
172,624
450,625
125,626
722,627
530,628
90,629
1194,630
181,631
695,632
414,633
251,634
69,635
131,636
300,637
706,638
326,639
1207,640
499,641
1174,642
979,643
495,644
338,645
421,646
164,647
28,648
516,649
193,650
841,651
826,652
169,653
1118,654
652,655
173,656
518,657
980,658
741,659
491,660
73,661
1033,662
587,663
657,664
234,665
214,666
1010,667
132,668
823,669
889,670
1002,671
185,672
41,673
108,674
905,675
568,676
1202,677
1045,678
1187,679
483,680
468,681
24,682
1003,683
717,684
971,685
1043,686
366,687
997,688
1085,689
383,690
454,691
264,692
1220,693
232,694
444,695
395,696
836,697
176,698
18,699
1083,700
745,701
867,702
595,703
61,704
272,705
1158,706
278,707
1186,708
694,709
368,710
945,711
872,712
916,713
760,714
847,715
547,716
938,717
688,718
967,719
456,720
393,721
675,722
1092,723
419,724
375,725
412,726
74,727
1198,728
919,729
500,730
852,731
616,732
114,733
417,734
601,735
604,736
89,737
968,738
1181,739
